Title,Plot
The Lighthouse Keeper,"A solitary keeper tends a remote Atlantic lighthouse through a long winter. When the supply boat fails to arrive for six weeks, he begins recording increasingly erratic entries in the station log. A relief crew eventually finds the lamp still burning and the log filled with meticulous notes about a second set of footprints in the snow that no one else can account for."
Harvest Season,"A family of arable farmers faces a drought that threatens their fourth consecutive harvest. The eldest daughter returns from the city with an agronomy degree and proposes switching to drought-resistant crops, which her father resists as an admission of defeat. The dispute divides the household until a neighbouring farm's failure forces a decision."
The Cartographer,"A mapmaker in the eighteenth century is commissioned to survey a mountain range that appears differently on every existing chart. Over three expeditions he discovers that earlier surveyors had each mapped a different valley while believing it was the same one. His final map includes an annotation explaining why the range cannot be represented on a single sheet."
Signal Drift,"Operators at a radio observatory detect a repeating pulse from a nearby star system. Months of analysis reveal the signal is a reflection of an early terrestrial broadcast, returned by an unknown surface. The team must decide whether to publish a finding that will be widely misread as contact."
The Understudy,"An understudy in a long-running stage production finally performs the lead role after the principal actor falls ill. Her interpretation diverges sharply from the established staging, dividing the company. The director must choose between the version audiences expect and the one the play now seems to require."
Winter Ferry,"A ferry operator maintains a crossing between two islands through a season when almost nobody travels. He continues the schedule for a single elderly passenger who visits her sister every Thursday. When the service is threatened with closure, the islanders' testimony reveals how many other quiet dependencies the route carried."
The Clockmaker's Apprentice,"An apprentice inherits a workshop containing a tower clock mechanism her master never completed. The surviving drawings are deliberately incomplete, and she gradually realises the omissions are a test rather than an oversight. Finishing the mechanism requires her to solve a problem the master had abandoned as impossible."
Ground Truth,"A survey team verifies satellite land-use data by walking transects across a national park. Their measurements consistently disagree with the imagery in one valley. The discrepancy turns out to be a calibration error introduced years earlier and propagated into every subsequent dataset derived from it."
The Quiet Carriage,"Commuters on a designated silent train carriage develop an unspoken social order over years of shared travel. A new passenger who ignores the convention triggers a slow escalation of passive enforcement. The story follows the carriage's regulars as they discover how much of their routine depended on an unwritten rule."
Salvage,"A marine salvage crew recovers cargo from a container ship grounded on a sandbank. Among the containers is one whose manifest does not match its contents, and whose owner cannot be traced. The crew's decision about what to report determines whether the operation remains profitable or becomes a legal problem."
The Seed Vault,"Technicians at an arctic seed vault catalogue a deposit from a region whose growing conditions no longer exist. A visiting botanist argues that storage without cultivation is preservation in name only. The vault's director weighs the cost of a living collection against the certainty of frozen storage."
Night Shift at the Exchange,"A telephone exchange operator works the overnight shift in the final year before automation. She connects calls for a small town and knows the pattern of every household's routine. When an unusual sequence of calls suggests an emergency nobody has reported, she has to decide how much her inference is worth acting on."
The Restorer,"A painting restorer discovers an earlier composition beneath a well-known portrait. Revealing it would destroy the visible work, which the gallery has built its identity around. The restorer's report presents both paintings as a single object that cannot be fully seen in either state."
Backcountry Relay,"Two rangers maintain a chain of remote radio repeaters across a mountain range. A winter storm disables the middle link, splitting the network into halves that cannot hear each other. Their repair traverse becomes a study in how a system designed for redundancy failed at exactly one point."
The Archivist's Index,"An archivist spends a decade building a subject index for an uncatalogued collection. Her classification decisions gradually shape what future researchers are able to find, and therefore what the collection is understood to contain. A challenge to one category exposes how much interpretation the index encodes."
